指标,202004,202003,202002,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902
房地产投资累计值,33102.8406,21962.6085,10115.4174,132194.2649,121265.0472,109603.4475,98007.6669,84589.0574,72843.118,61609.3028,46074.8881,34217.45,23802.9199,12089.8397
房地产住宅投资累计值,24237.8573,16014.9023,7318.2897,97070.7449,89232.2818,80666.1592,72145.7178,62186.7669,53466.2939,45166.8208,33780.1211,24925.2884,17255.8364,8711.0106
房地产施工面积累计增长,2.5,2.6,2.9,8.7,8.7,9,8.7,8.8,9,8.8,8.8,8.8,8.2,6.8
房地产新开工施工面积累计增长,-18.4,-27.2,-44.9,8.5,8.6,10,8.6,8.9,9.5,10.1,10.5,13.1,11.9,6
房地产竣工面积累计增长,-14.5,-15.8,-22.9,2.6,-4.5,-5.5,-8.6,-10,-11.3,-12.7,-12.4,-10.3,-10.8,-11.9
商品住宅施工面积累计值,521043.0979,504616.0689,487654.0872,627673.4235,613565.6556,598802.1642,583683.167,568024.7003,554111.3756,538284.0051,518616.6822,501831.69,484559.9069,466339.6675
商品住宅施工面积累计增长,3.8,4.1,4.6,10.1,10.1,10.4,10.1,10.1,10.4,10.3,10.4,10.4,9.7,8.3
商品住宅新开工施工面积累计值,35248.3115,20799.449,7559.4648,167463.4262,151447.4041,136936.7235,122308.4502,107052.9699,92826.4655,77997.8521,59124.7184,43334.6363,28466.6078,13596.556
商品住宅新开工施工面积累计增长,-18.7,-26.9,-44.4,9.2,9.3,10.5,8.8,8.9,9.6,10.5,11.4,13.8,11.5,4.3
商品住宅竣工面积累计值,13709.332,10927.8078,6760.9281,68011.1077,45274.1891,38474.1672,33084.3161,29336.1478,26373.6937,22929.1039,18834.6263,16040.114,13043.1143,8925.5624
商品住宅竣工面积累计增长,-14.5,-16.2,-24.3,3,-4,-5.5,-8.5,-9.6,-10.5,-11.7,-10.9,-7.5,-8.1,-7.8
办公楼施工面积累计值,31348.1047,30482.0169,29641.736,37251.817,36782.2186,36174.0241,35354.7322,34881.5954,34416.3371,33584.9508,32622.6021,32055.4938,31277.5425,30633.6966
办公楼施工面积累计增长,-2.2,-2.5,-3.2,3.9,4,4.1,3.5,4.2,4.3,3.3,2.6,2.5,1.4,0.8
办公楼新开工施工面积累计值,1369.5092,806.6721,303.7153,7083.5862,6347.9313,5814.7148,5010.1934,4480.3989,3930.0898,3265.2258,2451.3997,1920.8742,1301.9265,723.3177
办公楼新开工施工面积累计增长,-28.7,-38,-58,17.1,15.7,18.5,15.7,20.2,21.6,19.3,17.5,26.2,17.8,38
办公楼竣工面积累计值,703.3414,613.3955,396.7834,3923.3927,2356.8724,2033.6945,1739.6977,1543.5013,1407.4686,1199.6481,952.0248,760.319,650.8709,431.6692
办公楼竣工面积累计增长,-7.5,-5.8,-8.1,1,-9.7,-5.4,-10.3,-13.8,-15.7,-19.8,-27.5,-31,-30.8,-29.3
商业营业用房施工面积累计值,78232.3349,76572.9824,74457.324,100389.4934,99428.6296,97836.9341,96144.3824,94496.3278,92863.7981,90931.1274,88579.3949,86638.1619,84969.0705,82936.7982
商业营业用房施工面积累计增长,-9.7,-9.9,-10.2,-2.2,-2.1,-1.9,-1.7,-1.7,-1.5,-1.7,-1.7,-1.8,-1.8,-2.7
商业营业用房新开工施工面积累计值,3873.3761,2361.1895,875.4031,18936.2791,17134.3536,15504.9981,13941.5203,12172.406,10585.3277,8876.191,6666.6003,4868.6793,3360.6347,1774.143
商业营业用房新开工施工面积累计增长,-20.4,-29.7,-50.7,-5.6,-5,-4.2,-3.3,-4.5,-3.5,-3.7,-4.7,-5.4,-2.3,-2.6
商业营业用房竣工面积累计值,2151.1047,1802.0617,1036.6859,10814.1772,7481.2228,6336.1696,5532.5845,4987.7314,4457.8501,3927.2251,3329.8394,2786.5521,2270.6994,1476.7341
商业营业用房竣工面积累计增长,-22.8,-20.6,-29.8,-3.9,-10.2,-11.2,-13.5,-15.6,-17.3,-17.4,-15.8,-14.3,-15.1,-21.4
商品房销售面积现房比,13.57,14.05,14.26,,,,,,,,,,,
商品住宅销售面积现房比,10.92,11.38,11.85,,,,,,,,,,,
商品房销售面积累计增长,19.3,26.3,39.9,,,,,,,,,,,
商品房现房销售面积累计增长,28.2,34.2,45.4,,,,,,,,,,,
商品住宅销售面积累计增长,18.7,25.9,39.2,,,,,,,,,,,
商品住宅现房销售面积累计增长,30.1,35.6,44.1,,,,,,,,,,,
商品房销售额累计增长,18.6,24.7,35.9,,,,,,,,,,,
商品住宅销售额累计增长,16.5,22.8,34.7,,,,,,,,,,,
