指标,202004,202003,202002,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902
房地产投资累计值,1920.8034,1216.5308,569.5878,6670.4785,6160.1311,5722.9806,5278.9535,4671.7852,4022.9433,3387.0738,2640.3707,1945.6094,1315.9246,706.0656
房地产住宅投资累计值,1517.0812,959.6833,451.0196,5248.064,4840.8586,4496.7016,4149.0506,3636.2224,3126.8398,2630.115,2046.0974,1496.6356,1013.6905,539.4831
房地产施工面积累计增长,-24.9,-50.2,0.0,-1.9,-4.4,4.1,8.0,2.1,5.1,17.8,-0.4,4.4,-13.5,0.0
房地产新开工施工面积累计增长,-43.8,-23.2,-78.5,0.1,-5.2,-6.9,1.3,3.5,6.0,-7.7,-13.7,-1.5,16.0,16.3
房地产竣工面积累计增长,2.9,2.7,2.8,0.9,-0.1,-1.0,-1.8,-0.9,0.0,-1.5,-1.5,-2.3,-2.6,-3.6
商品住宅施工面积累计值,26758.1335,25943.7465,24922.4035,31953.7453,31122.3777,30442.0143,29770.2102,29174.1285,28503.1517,27825.5927,27017.0989,26029.955,25192.116,24425.14
商品住宅施工面积累计增长,2.8,3.0,2.0,9.5,8.9,9.0,9.1,9.6,10.4,11.2,12.3,12.0,12.5,11.8
商品住宅新开工施工面积累计值,2373.6544,1563.646,635.6766,8704.4527,7851.9939,7177.5658,6520.7433,5914.4115,5205.2324,4440.4477,3606.0352,2614.6417,1738.7328,948.2161
商品住宅新开工施工面积累计增长,-9.2,-10.1,-33.0,3.0,2.5,2.1,2.1,3.3,5.6,6.1,12.3,9.0,11.6,1.9
商品住宅竣工面积累计值,994.3236,849.1838,543.1577,4250.8137,2815.9697,2278.3414,2029.9353,1770.1417,1581.882,1355.7646,1043.6668,952.3866,810.2718,646.4689
商品住宅竣工面积累计增长,4.4,4.8,-16.0,33.5,9.9,2.0,8.5,2.2,-0.5,-4.3,-13.9,-2.5,-4.4,16.7
办公楼施工面积累计值,1100.3511,1089.6037,1076.0149,1268.3133,1217.626,1226.7956,1217.7246,1188.1407,1171.6389,1131.3156,1100.5324,1078.6253,1068.5181,1042.0573
办公楼施工面积累计增长,2.0,2.0,3.3,0.0,-0.9,1.0,1.0,2.1,0.9,-0.7,2.4,3.4,3.6,3.1
办公楼新开工施工面积累计值,32.8797,22.0558,6.9044,265.6796,228.7604,226.0244,202.9808,164.93200000000002,141.4372,130.9992,112.6816,90.4864,83.8846,44.5554
办公楼新开工施工面积累计增长,-63.7,-73.7,-84.5,0.0,9.5,15.9,9.0,10.8,-1.7,-4.7,54.6,57.2,99.8,197.6
办公楼竣工面积累计值,1927.9522,1869.2751,1819.0653,2130.5372,2109.1901,2026.1404,1939.3274,1933.2859,1929.7496,1912.8774,1864.6479,1794.0399,1773.9958,1727.5136
办公楼竣工面积累计增长,-35.1,-34.6,-55.7,0.0,-48.1,-48.9,-41.2,-39.2,-51.0,-45.2,-43.9,-15.1,-3.5,61.5
商业营业用房施工面积累计值,4213.3171,4101.4205,3969.1191,5516.0956,5449.0966,5389.3616,5356.8359,5231.2574,5149.4197,5093.7677,4969.4332,4895.4885,4789.1993,4724.8138
商业营业用房施工面积累计增长,-13.9,-14.4,-16.0,0.0,-10.5,-10.5,-10.1,-10.8,-11.1,-11.4,-12.4,-12.4,-13.3,-12.5
商业营业用房新开工施工面积累计值,268.9213,194.1032,75.4276,903.2312,840.8436,781.3513,768.5139,637.7205,567.624,495.4907,376.0772,306.1731,207.3745,120.7351
商业营业用房新开工施工面积累计增长,-12.2,-6.4,-37.5,0.0,3.9,5.5,13.1,9.3,10.8,5.1,-4.5,0.8,-11.7,28.2
商业营业用房竣工面积累计值,154.9129,135.1104,84.0879,628.0867,455.3861,366.0359,321.4641,295.4735,271.6504,242.7374,193.762,161.6488,145.0072,107.9693
商业营业用房竣工面积累计增长,-4.2,-6.8,-22.1,0.0,-15.0,-21.7,-16.2,-14.0,-16.1,-18.8,-16.3,-7.4,-5.9,-7.6
商品房销售面积现房比,8.9,9.43,10.03
商品住宅销售面积现房比,6.62,6.82,6.99
商品房销售面积累计增长,19.8,29.4,48.6
商品房现房销售面积累计增长,23.3,26.4,39.4
商品住宅销售面积累计增长,18.7,28.8,48.4
商品住宅现房销售面积累计增长,26.7,30.4,47.0
商品房销售额累计增长,19.4,29.2,48.1
商品住宅销售额累计增长,17.5,28.1,47.9
