指标,202004,202003,202002,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902
房地产投资累计值,1831.185,1168.8649,416.6278,7464.5887,6631.2605,5879.158,5194.013,4499.9816,3871.2961,3261.1244,2516.5962,1818.2192,1196.9613,537.255
房地产住宅投资累计值,1497.2086,948.7934,348.8887,6055.3707,5380.7492,4751.9578,4200.3559,3647.4969,3142.7735,2631.8996,2035.3652,1452.4156,955.9834,425.7259
房地产施工面积累计增长,9.7,9.1,7.7,11.4,11.1,12.8,13.8,13.3,15.7,15.7,15.6,15.7,14.4,15.0
房地产新开工施工面积累计增长,4.4,-2.2,-31.1,-1.2,-1.9,1.3,3.7,3.5,13.6,15.4,19.7,23.5,18.8,53.4
房地产竣工面积累计增长,-4.6,-4.9,3.2,10.6,5.4,0.9,-3.1,-5.1,-6.0,-8.8,-15.0,-12.2,-9.3,-11.8
商品住宅施工面积累计值,36474.907,35214.2861,34073.2084,43971.2635,42754.5928,41730.92,40680.1516,39780.0147,38752.3458,37698.3373,36215.4632,34986.818,33653.7319,32271.9407
商品住宅施工面积累计增长,4.3,4.6,5.6,6.3,7.6,8.6,7.8,8.0,7.9,8.1,8.1,8.0,7.3,5.4
商品住宅新开工施工面积累计值,2883.2793,1660.1907,588.39,12607.6497,11389.6471,10410.2033,9359.5001,8459.5893,7403.9661,6423.0224,4964.7701,3736.1249,2544.0594,1167.2496
商品住宅新开工施工面积累计增长,-22.8,-34.7,-49.6,10.3,15.0,19.1,16.4,18.0,18.3,22.5,24.5,27.2,35.0,21.1
商品住宅竣工面积累计值,695.5644,541.2468,278.5189,5162.6861,3153.1549,2740.3659,2510.2428,2216.7158,1958.7539,1723.4603,1294.0176,1063.2133,866.7012,420.9236
商品住宅竣工面积累计增长,-34.6,-37.6,-33.8,1.7,-3.1,1.7,5.7,6.8,12.9,8.9,3.7,4.5,3.7,-12.8
办公楼施工面积累计值,1577.8504,1563.7435,1549.1967,1856.9506,1850.7591,1817.8939,1796.0405,1763.9939,1758.0497,1687.4949,1519.348,1509.059,1496.1928,1457.0453
办公楼施工面积累计增长,4.6,4.5,6.3,0.0,5.6,6.1,8.7,8.7,9.4,5.8,-1.3,-0.4,0.3,0.7
办公楼新开工施工面积累计值,33.3082,19.8261,9.1298,428.1351,418.5147,385.6495,363.7961,331.7495,315.1739,241.9887,81.6879,71.3989,60.211999999999996,21.0645
办公楼新开工施工面积累计增长,-53.3,-67.1,-56.7,0.0,30.8,38.0,65.9,75.9,82.4,44.5,-28.5,-14.7,-0.2,40.6
办公楼竣工面积累计值,83.1529,78.1675,59.4256,332.8479,256.0682,236.3156,183.5468,169.1368,157.3416,155.2795,142.74,118.5352,95.4291,38.9179
办公楼竣工面积累计增长,25.3,49.1,-72.0,0.0,-40.4,-39.9,-48.8,-63.5,-57.0,-45.9,-47.6,-17.1,-25.5,117.2
商业营业用房施工面积累计值,4840.2756,4648.1608,4531.4668,6130.0656,5999.0002,5885.1797,5787.0535,5704.4426,5612.8602,5517.9661,5354.0293,5231.0342,5117.8723,4988.183
商业营业用房施工面积累计增长,-7.5,-9.2,-9.2,0.0,-0.1,0.4,1.6,1.1,1.0,2.8,3.6,4.7,5.4,6.1
商业营业用房新开工施工面积累计值,338.1733,189.9823,78.4866,1298.6763,1138.4126,1025.1732,927.0131,844.4772,759.5411,680.2325,528.6113,405.6162,294.0161,165.2014
商业营业用房新开工施工面积累计增长,-16.6,-35.4,-52.5,0.0,-19.5,-19.2,-16.0,-19.2,-20.7,-12.5,-9.5,-5.9,-1.3,13.3
商业营业用房竣工面积累计值,101.281,86.8147,42.5172,694.0914,440.4347,383.30800000000005,336.8922,301.6444,261.6982,232.2624,183.1246,149.2484,118.7025,81.2775
商业营业用房竣工面积累计增长,-32.1,-26.9,-47.7,0.0,-8.4,-2.1,4.6,3.9,10.9,10.9,6.0,4.6,-7.1,17.9
商品房销售面积现房比,17.46,19.64,20.56
商品住宅销售面积现房比,16.13,18.18,19.17
商品房销售面积累计增长,14.2,24.6,42.3
商品房现房销售面积累计增长,26.4,26.6,41.1
商品住宅销售面积累计增长,12.8,23.2,40.5
商品住宅现房销售面积累计增长,26.8,27.2,40.4
商品房销售额累计增长,15.3,26.2,41.6
商品住宅销售额累计增长,13.2,23.7,38.3
