指标,202004,202003,202002,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902
房地产投资累计值,1661.6057,1132.9312,525.2369,5673.1288,5252.9574,4773.6335,4303.2291,3730.7401,3290.8329,2826.8979,2260.0294,1796.7741,1306.3752,648.8164
房地产住宅投资累计值,1207.6025,837.3949,382.6587,4076.3073,3787.2497,3447.3711,3112.5123,2688.4108,2362.1272,2016.7372,1583.7648,1241.3071,892.9032,456.8528
房地产施工面积累计增长,2.9,2.7,2.8,0.9,-0.1,-1.0,-1.8,-0.9,0.0,-1.5,-1.5,-2.3,-2.6,-3.6
房地产新开工施工面积累计增长,-18.2,-44.3,-48.4,14.0,10.5,10.2,7.8,16.0,25.8,18.5,24.0,28.9,58.1,14.2
房地产竣工面积累计增长,-44.7,-41.8,-51.6,-14.3,-14.9,-23.4,-33.0,-32.0,-32.8,-28.3,-27.5,-29.0,-32.5,-26.9
商品住宅施工面积累计值,19220.3425,18798.2983,18507.4782,22456.9703,22132.1362,21711.032000000003,21366.1394,20663.7351,20262.7969,19903.8451,19346.1999,18932.9029,18397.1831,17935.9086
商品住宅施工面积累计增长,1.5,2.2,3.2,6.8,8.3,9.3,8.5,7.9,8.5,9.0,10.3,9.6,9.4,8.2
商品住宅新开工施工面积累计值,954.1398,560.2254,244.4453,4614.9975,4217.2988,3798.4516,3463.1846,2865.4014,2460.2703,2112.9786,1552.5005,1150.1978,745.9162,360.9705
商品住宅新开工施工面积累计增长,-17.0,-24.9,-32.3,-9.0,-4.0,-1.0,-5.5,-8.6,-6.2,-6.1,-8.0,-9.9,-10.2,-27.7
商品住宅竣工面积累计值,478.2722,380.6559,216.2811,1813.9032,1372.1327,1179.4105,1048.4560000000001,884.3646,731.1711,652.7114,576.1926,497.2288,420.8905,290.567
商品住宅竣工面积累计增长,-3.8,-9.6,-25.6,-22.7,-12.3,-17.4,-20.4,-28.6,-32.9,-30.0,-29.8,-23.4,-18.0,-21.8
办公楼施工面积累计值,1693.9526,1641.5391,1635.5532,2030.7503,2047.4879,2043.2711,2040.7412,2034.0952,1982.2573,1984.7032,1973.7027,1939.0106,1908.7287,1878.7068
办公楼施工面积累计增长,-12.6,-14.0,-12.9,0.0,-5.8,-5.0,-3.8,-3.6,-6.7,-6.0,-4.9,-5.1,-6.2,-5.7
办公楼新开工施工面积累计值,78.6041,25.8703,17.3868,201.6661,177.9715,173.7546,171.2247,164.77599999999998,112.83200000000001,117.2541,106.336,71.6439,42.4171,19.2734
办公楼新开工施工面积累计增长,9.7,-39.0,-9.8,0.0,-18.2,-11.0,6.8,8.6,-11.8,0.0,1.6,-11.9,-42.8,-49.5
办公楼竣工面积累计值,30.1409,30.1409,11.4709,259.3632,210.9758,181.4785,149.6931,153.2499,151.751,111.397,103.2302,92.5113,78.8331,43.0938
办公楼竣工面积累计增长,3.8,-6.9,-12.8,0.0,-21.5,-16.2,-2.1,-23.5,-32.5,-35.7,-17.4,-41.9,-44.9,-8.1
商业营业用房施工面积累计值,2499.6685,2473.2575,2452.0741,3253.8923,3223.3779,3171.9294,3148.5704,3112.4159,3057.1215,3049.0056,3018.5828,2980.1941,2948.9532,2943.3254
商业营业用房施工面积累计增长,-16.1,-16.1,-16.7,0.0,-7.2,-6.7,-5.5,-4.3,-3.4,-3.0,-1.4,-1.5,-0.5,0.5
商业营业用房新开工施工面积累计值,82.1444,44.8329,25.5682,331.5434,292.9691,244.0706,220.9805,186.1101,140.0308,134.57399999999998,104.4718,66.34,38.7366,34.8903
商业营业用房新开工施工面积累计增长,23.8,15.7,-26.7,0.0,-43.7,-46.1,-42.5,-40.3,-50.7,-49.0,-49.1,-61.3,-66.6,-45.6
商业营业用房竣工面积累计值,48.762,39.6559,17.1277,367.9148,251.4505,205.2668,182.36900000000003,155.5894,124.2809,108.7167,106.3102,93.7311,84.4815,63.9897
商业营业用房竣工面积累计增长,-48.0,-53.1,-73.2,0.0,4.5,-6.0,-12.4,-21.5,-33.4,-37.7,-23.5,-19.0,-7.9,21.7
商品房销售面积现房比,18.8,20.85,18.94
商品住宅销售面积现房比,11.76,13.0,13.38
商品房销售面积累计增长,21.5,30.1,43.7
商品房现房销售面积累计增长,3.2,2.6,30.2
商品住宅销售面积累计增长,21.5,31.5,43.3
商品住宅现房销售面积累计增长,25.6,25.0,38.1
商品房销售额累计增长,20.3,30.8,41.8
商品住宅销售额累计增长,14.6,24.6,38.9
