指标,202004,202003,202002,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902
房地产投资累计值,832.1751,600.5486,247.425,2990.8139,2769.5667,2471.8956,2194.2062,1937.8807,1655.5087,1404.2818,1014.2707,778.2066,562.9008,275.7104
房地产住宅投资累计值,630.7637,453.8103,178.9421,2078.3661,1951.1438,1731.77,1540.9187,1354.0641,1139.5559,965.3008,688.4389,523.1493,370.2273,189.0831
房地产施工面积累计增长,-22.6,-35.6,-50.3,7.9,13.1,16.8,16.0,17.2,16.5,20.3,20.3,22.0,31.0,20.2
房地产新开工施工面积累计增长,-33.2,-35.3,-37.3,-1.3,-7.2,-2.2,1.9,2.2,9.2,6.7,0.8,1.7,-0.7,-8.1
房地产竣工面积累计增长,0.5,0.9,3.6,8.0,7.9,8.6,8.9,8.6,8.6,9.0,8.9,8.6,6.4,3.2
商品住宅施工面积累计值,14917.7794,14293.6749,13734.2692,18426.5222,17980.3899,17417.9332,16710.2812,16157.3841,15666.5988,14668.1207,13836.3683,13319.9887,12835.5439,12269.9948
商品住宅施工面积累计增长,12.0,11.4,11.9,31.8,31.3,31.8,29.6,29.0,28.0,22.9,21.3,22.2,21.1,18.0
商品住宅新开工施工面积累计值,909.6265,515.8093,167.1752,5235.8499,4695.78,4166.4245,3557.7025,3124.4966,2632.303,2022.7968,1410.2763,1060.4428,754.8974,418.9626
商品住宅新开工施工面积累计增长,-14.2,-31.7,-60.1,31.4,30.9,34.1,27.2,27.4,20.1,5.5,-5.2,4.6,-1.8,-10.6
商品住宅竣工面积累计值,170.8916,110.2796,91.7716,634.4973,470.6621,406.4993,348.0681,322.5789,313.3766,303.0016,261.8479,250.2871,205.2368,153.8483
商品住宅竣工面积累计增长,-31.7,-46.3,-40.3,-24.6,-24.0,22.0,3.8,3.0,3.8,16.4,10.6,28.2,5.4,5.3
办公楼施工面积累计值,573.9085,563.2040000000001,563.172,824.385,846.1226,821.6134,808.4854,793.2921,785.9443,751.8635,750.45,742.3204,738.0953,688.4747
办公楼施工面积累计增长,-22.7,-23.7,-18.2,0.0,14.1,14.1,13.4,14.4,13.5,10.9,14.6,14.6,14.1,7.9
办公楼新开工施工面积累计值,5.2105,1.9877,0.3037,122.3336,119.361,92.1968,79.0688,76.8304,67.1198,53.6645,52.6016,49.7893,46.4363,28.8298
办公楼新开工施工面积累计增长,-89.5,-95.7,-98.9,0.0,34.4,38.5,32.9,93.3,71.8,127.8,297.7,0.0,0.0,0.0
办公楼竣工面积累计值,1073.1329,1032.3888,1014.3776,1173.2445,1146.2222,1116.2713,1104.1762,1095.7037,1080.0115,1072.2174,1044.3663,1040.7873,1024.3841,983.1188
办公楼竣工面积累计增长,0.3,-1.7,0.0,0.0,-23.5,75.8,69.4,-13.5,-13.5,-34.4,-38.8,-41.2,6.7,-93.1
商业营业用房施工面积累计值,3011.6486,2956.473,2945.9813,4253.0798,4235.9559,4152.0398,4045.7549,3977.6184,3887.2104,3661.8169,3536.0194,3453.3327,3379.2598,3260.8079
商业营业用房施工面积累计增长,-12.8,-12.5,-9.7,0.0,8.5,8.2,6.9,7.4,6.7,2.0,1.9,3.1,2.0,-0.9
商业营业用房新开工施工面积累计值,73.0003,38.44,17.538,774.3213,729.5465,645.2733,555.427,527.8707,422.8676,275.3038,218.6341,170.8453,126.7461,60.7544
商业营业用房新开工施工面积累计增长,-57.3,-69.7,-71.1,0.0,14.3,13.0,7.3,15.9,6.0,-21.5,-13.0,-2.5,-6.6,-32.5
商业营业用房竣工面积累计值,31.1223,23.0794,23.8049,164.0014,109.4272,92.8591,85.5426,73.1265,68.852,64.683,54.666000000000004,52.6784,49.5287,30.3222
商业营业用房竣工面积累计增长,-40.9,-53.4,-21.5,0.0,-44.9,-14.5,-18.0,-23.2,-25.2,-25.8,-36.1,-36.8,-38.1,-55.6
商品房销售面积现房比,8.32,9.44,9.41
商品住宅销售面积现房比,6.13,6.66,7.42
商品房销售面积累计增长,10.0,16.3,29.3
商品房现房销售面积累计增长,26.9,25.8,37.9
商品住宅销售面积累计增长,8.9,15.6,30.4
商品住宅现房销售面积累计增长,31.2,32.4,40.8
商品房销售额累计增长,12.7,19.3,32.2
商品住宅销售额累计增长,9.3,16.4,31.0
