省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
北京市,居民人均可支配收入_累计值,14074.89112,14588.66556,15767,15312,15347,15935,17068.92302,16791.45957,16680.2086,17215.3212,17874.24243
北京市,城镇居民人均可支配收入_累计值,15280.24102,16109.92111,17049,16694,16663,17584,18454.14897,18304.67683,18105.78711,18983.90046,19348.84228
北京市,农村居民人均可支配收入_累计值,6393.49352,4893.71204,7599,6503,6960,5428,8241.025623,7147.983357,7593.61726,5945.8047,8476.771156
北京市,居民人均消费支出_累计值,9067.23368,9977.18304,9902,9768,9628,10544.68845,10636.707,10497.74204,10407.06829,11496.77292,10003.02856
北京市,城镇居民人均消费支出_累计值,9781.71199,10736.00197,10651.61207,10564.38793,10376,11333.64798,11440.31173,11348.43594,11214.8112,12354.61562,10679.74805
北京市,农村居民人均消费支出_累计值,4514.039441,5141.21952,5124,4692,4862,5517.32122,5515.419626,5076.415434,5258.53665,6030.6584,5690.36574
天津市,居民人均可支配收入_累计值,9756.85746,7574.22748,11073,9913,10421,8099,11854.98851,10605.64232,11180.97319,8762.53217,12081.27775
天津市,城镇居民人均可支配收入_累计值,10735.85965,8065.7485,12020,10876,11456,8624,12890.45508,11625.80127,12287.11707,9315.5155,13188.05507
天津市,农村居民人均可支配收入_累计值,5209.54238,5142.64908,6642,5385,5567,5471,7013.794645,5802.820255,5991.52053,5995.97448,6887.01087
天津市,居民人均消费支出_累计值,6822.49929,7183.80022,7726,6982,7310,7884.90886,8171.990147,7795.245533,7783.27404,8103.12262,7048.004252
天津市,城镇居民人均消费支出_累计值,7405.57543,7757.76356,8435.546018,7660.453982,7988,8571.10997,8900.909756,8595.840414,8566.26453,8747.70259,7615.376388
天津市,农村居民人均消费支出_累计值,4114.20723,4406.37339,4411,3788,4128,4536.32854,4764.018077,4027.464011,4109.890452,4941.9672,4385.24431
河北省,居民人均可支配收入_累计值,5298.45817,5707.64778,6091,5343,5799,6213,6636.281277,5873.744583,6360.25763,6794.42982,6547.665728
河北省,城镇居民人均可支配收入_累计值,7686.32012,8189.74292,8455,7382,8315,8825,9126.664433,8047.280607,9026.9148,9536.82359,9047.221138
河北省,农村居民人均可支配收入_累计值,3111.739629,3131.650593,3857,3381,3402,3391,4200.886286,3711.555316,3731.489748,3729.14817,4068.340768
河北省,居民人均消费支出_累计值,3564.986763,4488.6714,4252,3803,3879,4787.99927,4500.175693,4147.02511,4227.562267,5112.428,4225.428833
河北省,城镇居民人均消费支出_累计值,4852.524638,5841.619,5481.468901,5220.531099,5223,6202.41539,5673.821879,5686.454731,5643.52327,6479.25475,5301.172451
