Beijing,580,8,418,0,0,0
Tianjin,176,3,135,2,0,0
Shanghai,516,6,341,7,1,0
Chongqing,579,6,570,0,0,0
Hebei,323,6,310,2,0,0
Henan,1276,22,1251,0,0,0
Yunnan,182,2,172,0,0,0
Liaoning,140,2,124,1,0,0
Heilongjiang,484,13,469,0,0,0
Hunan,1018,4,1014,0,0,0
Anhui,990,6,984,0,0,0
Shandong,774,7,753,0,0,0
Xinjiang,76,3,73,0,0,0
Jiangsu,646,0,631,0,0,0
Zhejiang,1257,1,1226,0,0,0
Jiangxi,937,1,935,0,0,0
Hubei,67802,3193,63326,1,6,173
Guangxi,254,2,250,0,0,0
Gansu,138,2,127,0,0,2
Shanxi,137,0,133,1,0,0
Inner Mongolia,111,1,74,4,0,0
Shaanxi,255,3,242,2,0,0
Jilin,98,1,92,0,0,0
Fujian,345,1,298,2,0,3
Guizhou,146,2,144,0,0,0
Guangdong,1501,8,1357,7,0,1
Qinghai,18,0,18,0,0,0
Tibet,1,0,1,0,0,0
Sichuan,552,3,537,2,0,1
Ningxia,75,0,75,0,0,0
Hainan,168,6,162,0,0,0
Taiwan,329,5,39,7,0,0
Hong Kong,765,4,147,51,0,19
Macau,41,0,10,0,0,0
