Beijing,593,8,524
Tianjin,189,3,179
Shanghai,641,7,533
Chongqing,579,6,573
Hebei,328,6,317
Henan,1276,22,1254
Yunnan,184,2,180
Liaoning,146,2,143
Heilongjiang,928,13,485
Hunan,1019,4,1015
Anhui,991,6,984
Shandong,787,7,766
Xinjiang,76,3,73
Jiangsu,653,0,646
Zhejiang,1268,1,1256
Jiangxi,937,1,936
Hubei,68128,4512,63569
Guangxi,254,2,252
Gansu,139,2,137
Shanxi,197,0,142
Inner Mongolia,194,1,108
Shaanxi,279,3,253
Jilin,108,1,99
Fujian,355,1,346
Guizhou,147,2,145
Guangdong,1585,8,1528
Qinghai,18,0,18
Tibet,1,0,1
Sichuan,561,3,558
Ningxia,75,0,75
Hainan,168,6,162
Hong Kong,1035,4,699
Macau,45,0,27
